2025-09-02 23:03:51 status unpacked libminizip1t64:amd64 1:1.3.dfsg-3.1ubuntu2.1
2025-09-02 23:03:51 install libfreexl1:amd64 <none> 2.0.0-1build2
2025-09-02 23:03:51 status half-installed libfreexl1:amd64 2.0.0-1build2
2025-09-02 23:03:51 status unpacked libfreexl1:amd64 2.0.0-1build2
2025-09-02 23:03:51 install libfyba0t64:amd64 <none> 4.1.1-11build1
2025-09-02 23:03:51 status half-installed libfyba0t64:amd64 4.1.1-11build1
2025-09-02 23:03:51 status unpacked libfyba0t64:amd64 4.1.1-11build1
2025-09-02 23:03:51 install libgeos3.12.1t64:amd64 <none> 3.12.1-3build1
2025-09-02 23:03:51 status half-installed libgeos3.12.1t64:amd64 3.12.1-3build1
2025-09-02 23:03:51 status unpacked libgeos3.12.1t64:amd64 3.12.1-3build1
2025-09-02 23:03:52 install libgeos-c1t64:amd64 <none> 3.12.1-3build1
2025-09-02 23:03:52 status half-installed libgeos-c1t64:amd64 3.12.1-3build1
2025-09-02 23:03:52 status unpacked libgeos-c1t64:amd64 3.12.1-3build1
2025-09-02 23:03:52 install proj-data:all <none> 9.4.0-1build2
2025-09-02 23:03:52 status half-installed proj-data:all 9.4.0-1build2
2025-09-02 23:03:52 status unpacked proj-data:all 9.4.0-1build2
2025-09-02 23:03:52 install libproj25:amd64 <none> 9.4.0-1build2
2025-09-02 23:03:52 status half-installed libproj25:amd64 9.4.0-1build2
2025-09-02 23:03:52 status unpacked libproj25:amd64 9.4.0-1build2
2025-09-02 23:03:52 install libgeotiff5:amd64 <none> 1.7.1-5build1
2025-09-02 23:03:52 status half-installed libgeotiff5:amd64 1.7.1-5build1
2025-09-02 23:03:52 status unpacked libgeotiff5:amd64 1.7.1-5build1
2025-09-02 23:03:52 install libhdf4-0-alt:amd64 <none> 4.2.16-4build1
2025-09-02 23:03:52 status half-installed libhdf4-0-alt:amd64 4.2.16-4build1
2025-09-02 23:03:52 status unpacked libhdf4-0-alt:amd64 4.2.16-4build1
2025-09-02 23:03:52 install libsz2:amd64 <none> 1.1.2-1build1
2025-09-02 23:03:52 status half-installed libsz2:amd64 1.1.2-1build1
2025-09-02 23:03:52 status unpacked libsz2:amd64 1.1.2-1build1
2025-09-02 23:03:52 install libhdf5-103-1t64:amd64 <none> 1.10.10+repack-3.1ubuntu4
2025-09-02 23:03:52 status half-installed libhdf5-103-1t64:amd64 1.10.10+repack-3.1ubuntu4
2025-09-02 23:03:52 status unpacked libhdf5-103-1t64:amd64 1.10.10+repack-3.1ubuntu4
2025-09-02 23:03:53 install liburiparser1:amd64 <none> 0.9.7+dfsg-2build1
2025-09-02 23:03:53 status half-installed liburiparser1:amd64 0.9.7+dfsg-2build1
2025-09-02 23:03:53 status unpacked liburiparser1:amd64 0.9.7+dfsg-2build1
2025-09-02 23:03:53 install libkmlbase1t64:amd64 <none> 1.3.0-12build1
2025-09-02 23:03:53 status half-installed libkmlbase1t64:amd64 1.3.0-12build1
2025-09-02 23:03:53 status unpacked libkmlbase1t64:amd64 1.3.0-12build1
2025-09-02 23:03:53 install libkmldom1t64:amd64 <none> 1.3.0-12build1
2025-09-02 23:03:53 status half-installed libkmldom1t64:amd64 1.3.0-12build1
2025-09-02 23:03:53 status unpacked libkmldom1t64:amd64 1.3.0-12build1
2025-09-02 23:03:53 install libkmlengine1t64:amd64 <none> 1.3.0-12build1
2025-09-02 23:03:53 status half-installed libkmlengine1t64:amd64 1.3.0-12build1
2025-09-02 23:03:53 status unpacked libkmlengine1t64:amd64 1.3.0-12build1
2025-09-02 23:03:53 install mysql-common:all <none> 5.8+1.1.0build1
2025-09-02 23:03:53 status half-installed mysql-common:all 5.8+1.1.0build1
2025-09-02 23:03:53 status unpacked mysql-common:all 5.8+1.1.0build1
2025-09-02 23:03:53 install libmysqlclient21:amd64 <none> 8.0.43-0ubuntu0.24.04.1
2025-09-02 23:03:53 status half-installed libmysqlclient21:amd64 8.0.43-0ubuntu0.24.04.1
2025-09-02 23:03:53 status unpacked libmysqlclient21:amd64 8.0.43-0ubuntu0.24.04.1
2025-09-02 23:03:53 install libhdf5-hl-100t64:amd64 <none> 1.10.10+repack-3.1ubuntu4
2025-09-02 23:03:53 status half-installed libhdf5-hl-100t64:amd64 1.10.10+repack-3.1ubuntu4
2025-09-02 23:03:53 status unpacked libhdf5-hl-100t64:amd64 1.10.10+repack-3.1ubuntu4
2025-09-02 23:03:54 install libnetcdf19t64:amd64 <none> 1:4.9.2-5ubuntu4
2025-09-02 23:03:54 status half-installed libnetcdf19t64:amd64 1:4.9.2-5ubuntu4
2025-09-02 23:03:54 status unpacked libnetcdf19t64:amd64 1:4.9.2-5ubuntu4
2025-09-02 23:03:54 install libodbc2:amd64 <none> 2.3.12-1ubuntu0.24.04.1
2025-09-02 23:03:54 status half-installed libodbc2:amd64 2.3.12-1ubuntu0.24.04.1
2025-09-02 23:03:54 status unpacked libodbc2:amd64 2.3.12-1ubuntu0.24.04.1
2025-09-02 23:03:54 install unixodbc-common:all <none> 2.3.12-1ubuntu0.24.04.1
2025-09-02 23:03:54 status half-installed unixodbc-common:all 2.3.12-1ubuntu0.24.04.1
2025-09-02 23:03:54 status unpacked unixodbc-common:all 2.3.12-1ubuntu0.24.04.1
2025-09-02 23:03:54 install libodbcinst2:amd64 <none> 2.3.12-1ubuntu0.24.04.1
2025-09-02 23:03:54 status half-installed libodbcinst2:amd64 2.3.12-1ubuntu0.24.04.1
